"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.531178749424286e-01,8.334975181028467e-01,1.560490843664632e-02,6.032609167240459e+00,-7.621374545991487e-01,-4.685781929839110e-13,1.953663675074947e+00,8.979755248068799e-01,-5.858531738259054e-03,0.000000000000000e+00,1.350335729119237e+00,2.140691201086098e+00,9.819102786116380e-01,5.129378496147463e+00,1,1.025000028312206e-02,5.200999975204468e-01,1.025000028312206e-02,5.000000000000000e-01
6.532258667185482e-01,8.281405011299672e-01,1.560490843664632e-02,5.940662079634578e+00,-7.769033168003634e-01,-4.658279712274736e-13,1.953466494090393e+00,8.980981760297256e-01,-6.010377916882366e-03,0.000000000000000e+00,1.350260928726207e+00,2.141186781113857e+00,9.819102786116383e-01,5.129227691932220e+00,1,1.049999985843897e-02,5.200999975204468e-01,1.049999985843897e-02,5.000000000000000e-01
6.533338588969692e-01,8.227834642006250e-01,1.560490843664632e-02,5.848714649498638e+00,-7.916692340088056e-01,-4.630777392256762e-13,1.953269312371280e+00,8.982208277094832e-01,-6.162224661177663e-03,0.000000000000000e+00,1.350186128054522e+00,2.141682362987829e+00,9.819102786116582e-01,5.129076887155186e+00,1,1.075000036507845e-02,5.200999975204468e-01,1.075000036507845e-02,5.000000000000000e-01
6.534418506730888e-01,8.174264472277307e-01,1.560490843664632e-02,5.756767561892633e+00,-8.064350962100089e-01,-4.603275174692066e-13,1.953072131386726e+00,8.983434789323289e-01,-6.314070839801045e-03,0.000000000000000e+00,1.350111327661492e+00,2.142177943015559e+00,9.819102786116383e-01,5.128926082939943e+00,1,1.099999994039536e-02,5.200999975204468e-01,1.099999994039536e-02,5.000000000000000e-01
6.535498428515097e-01,8.120694102983740e-01,1.560490843664632e-02,5.664820131756575e+00,-8.212010134184401e-01,-4.575772854673774e-13,1.952874949667613e+00,8.984661306120869e-01,-6.465917584096414e-03,0.000000000000000e+00,1.350036526989808e+00,2.142673524889501e+00,9.819102786116385e-01,5.128775278162911e+00,1,1.125000044703484e-02,5.200999975204468e-01,1.125000044703484e-02,5.000000000000000e-01
6.536578346276294e-01,8.067123933254944e-01,1.560490843664632e-02,5.572873044150691e+00,-8.359668756196548e-01,-4.548270637109399e-13,1.952677768683059e+00,8.985887818349324e-01,-6.617763762719726e-03,0.000000000000000e+00,1.349961726596777e+00,2.143169104917261e+00,9.819102786116387e-01,5.128624473947667e+00,1,1.150000002235174e-02,5.200999975204468e-01,1.150000002235174e-02,5.000000000000000e-01
6.537658264037490e-01,8.013553763526148e-01,1.560490843664632e-02,5.480925956544808e+00,-8.507327378208693e-01,-4.520768419545024e-13,1.952480587698504e+00,8.987114330577781e-01,-6.769609941343038e-03,0.000000000000000e+00,1.349886926203747e+00,2.143664684945020e+00,9.819102786116388e-01,5.128473669732424e+00,1,1.174999959766865e-02,5.200999975204468e-01,1.174999959766865e-02,5.000000000000000e-01
6.538738185821700e-01,7.959983394232441e-01,1.560490843664632e-02,5.388978526408637e+00,-8.654986550292885e-01,-4.493266099526417e-13,1.952283405979393e+00,8.988340847375358e-01,-6.921456685638484e-03,0.000000000000000e+00,1.349812125532063e+00,2.144160266818932e+00,9.819102786116189e-01,5.128322864955392e+00,1,1.200000010430813e-02,5.200999975204468e-01,1.200000010430813e-02,5.000000000000000e-01
6.539818103582897e-01,7.906413224503782e-01,1.560490843664632e-02,5.297031438802866e+00,-8.802645172305149e-01,-4.465763881962356e-13,1.952086224994837e+00,8.989567359603814e-01,-7.073302864261717e-03,0.000000000000000e+00,1.349737325139032e+00,2.144655846846721e+00,9.819102786116392e-01,5.128172060740147e+00,1,1.224999967962503e-02,5.200999975204468e-01,1.224999967962503e-02,5.000000000000000e-01
6.540898025367106e-01,7.852842855210214e-01,1.560490843664632e-02,5.205084008666805e+00,-8.950304344389458e-01,-4.438261561944062e-13,1.951889043275725e+00,8.990793876401392e-01,-7.225149608557085e-03,0.000000000000000e+00,1.349662524467347e+00,2.145151428720663e+00,9.819102786116392e-01,5.128021255963114e+00,1,1.250000018626451e-02,5.200999975204468e-01,1.250000018626451e-02,5.000000000000000e-01
