iter4 log_res CL CD CM
291 -5.435356 0.13480224 2.084854 -1.8532064
292 -5.435174 0.13521074 2.084476 -1.8583494
293 -5.435002 0.13567332 2.084086 -1.8641908
294 -5.434821 0.13618848 2.083676 -1.8707072
295 -5.434621 0.13675422 2.083238 -1.877868
296 -5.434396 0.13736784 2.082762 -1.8856348
297 -5.434146 0.13802598 2.082238 -1.8939596
298 -5.433875 0.13872454 2.08166 -1.9027852
299 -5.433587 0.13945862 2.081018 -1.9120448
300 -5.433288 0.14022274 2.080304 -1.9216632
301 -5.432978 0.14101078 2.07951 -1.9315582
302 -5.432748 0.14181634 2.07863 -1.941643
303 -5.432698 0.1426328 2.077656 -1.9518296
304 -5.432765 0.1434537 2.076582 -1.9620314
305 -5.432946 0.14427278 2.075406 -1.9721656
306 -5.433248 0.14508424 2.074124 -1.9821552
307 -5.433689 0.14588282 2.072732 -1.991931
308 -5.434286 0.14666374 2.07123 -2.00143
309 -5.435063 0.14742282 2.069616 -2.0106
310 -5.436044 0.14815638 2.067892 -2.01939
311 -5.437243 0.14886124 2.066062 -2.027762
312 -5.438672 0.14953466 2.064124 -2.03568
313 -5.440333 0.15017428 2.062082 -2.043116
314 -5.442237 0.15077812 2.05994 -2.050046
315 -5.444479 0.15134452 2.057704 -2.056448
316 -5.446849 0.15187218 2.055376 -2.062308
317 -5.449119 0.15236004 2.052962 -2.067616
318 -5.451215 0.1528074 2.050466 -2.072364
319 -5.453073 0.1532138 2.047894 -2.076546
320 -5.454646 0.15357904 2.045254 -2.080166
321 -5.455905 0.15390322 2.04255 -2.083226
322 -5.456848 0.15418666 2.039788 -2.085732
323 -5.457489 0.15442992 2.036974 -2.087694
324 -5.457858 0.1546338 2.034116 -2.089126
325 -5.457998 0.15479936 2.03122 -2.090044
326 -5.457962 0.15492776 2.02829 -2.090468
327 -5.457803 0.15502046 2.025334 -2.090414
328 -5.45757 0.155079 2.02236 -2.08991
329 -5.457303 0.15510512 2.01937 -2.088978
330 -5.457028 0.15510066 2.016372 -2.087646
331 -5.45676 0.15506758 2.013372 -2.08594
332 -5.456501 0.15500788 2.010374 -2.08389
333 -5.456245 0.15492358 2.007384 -2.081524
334 -5.455975 0.15481666 2.004406 -2.078868
335 -5.455674 0.15468906 2.001446 -2.07595
336 -5.455322 0.15454256 1.998506 -2.072796
337 -5.4549 0.15437884 1.995592 -2.069428
338 -5.454393 0.15419932 1.9927076 -2.065868
339 -5.453793 0.15400528 1.9898564 -2.062132
340 -5.453098 0.15379782 1.987042 -2.058236
341 -5.452314 0.15357778 1.984268 -2.054194
342 -5.451448 0.15334572 1.9815374 -2.050014
343 -5.450513 0.15310202 1.9788532 -2.045702
344 -5.449517 0.15284692 1.9762186 -2.041262
345 -5.448473 0.15258064 1.9736362 -2.0367
346 -5.447387 0.15230326 1.9711088 -2.032016
347 -5.446263 0.15201492 1.9686386 -2.027214
348 -5.44511 0.15171586 1.9662286 -2.022296
349 -5.443943 0.15140638 1.9638806 -2.017272
350 -5.442779 0.15108696 1.9615968 -2.012144
351 -5.441644 0.15075826 1.9593794 -2.006926
352 -5.440566 0.15042116 1.9572298 -2.001626
353 -5.439575 0.15007676 1.9551498 -1.9962624
354 -5.4387 0.14972642 1.9531406 -1.990851
355 -5.437966 0.14937164 1.9512032 -1.985413
356 -5.437386 0.1490142 1.9493382 -1.9799714
357 -5.436963 0.14865596 1.9475458 -1.9745504
358 -5.436681 0.14829892 1.9458262 -1.9691762
359 -5.436514 0.14794522 1.9441788 -1.963876
360 -5.436421 0.14759698 1.9426028 -1.9586772
