"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000000000027e+00,7.045071290749360e-12,0.000000000000000e+00,-1.210543295587033e-12,1.460258778294692e-11,-1.711876143412923e-14,1.000000000000014e+00,1.774823934929907e+00,-2.601207920945064e-15,0.000000000000000e+00,9.999999999999897e-01,5.835273406018417e-98,0.000000000000000e+00,5.075000000000003e+00,1,1.224999967962503e-02,1.224999967962503e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000026e+00,6.679589686827501e-12,0.000000000000000e+00,-1.454393038263032e-12,1.370450901380150e-11,-4.718547672246007e-15,1.000000000000014e+00,1.774823934929907e+00,-2.060546472358221e-15,0.000000000000000e+00,9.999999999999897e-01,1.845428777302761e-97,0.000000000000000e+00,5.075000000000004e+00,1,1.250000018626451e-02,1.250000018626451e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000026e+00,6.314109444427489e-12,0.000000000000000e+00,-1.698241872529809e-12,1.280643359025113e-11,7.681619895331225e-15,1.000000000000013e+00,1.774823934929907e+00,-1.519887037887726e-15,0.000000000000000e+00,9.999999999999900e-01,3.107325513064037e-97,0.000000000000000e+00,5.075000000000004e+00,1,1.274999976158142e-02,1.274999976158142e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000026e+00,5.948627840505620e-12,0.000000000000000e+00,-1.942091615205807e-12,1.190835482110567e-11,2.008183365721499e-14,1.000000000000012e+00,1.774823934929906e+00,-9.792255893008712e-16,0.000000000000000e+00,9.999999999999899e-01,4.369226949764938e-97,0.000000000000000e+00,5.075000000000003e+00,1,1.300000026822090e-02,1.300000026822090e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000025e+00,5.583147598105909e-12,0.000000000000000e+00,-2.185940449472574e-12,1.101027939755680e-11,3.248200122479509e-14,1.000000000000012e+00,1.774823934929906e+00,-4.385661548306415e-16,0.000000000000000e+00,9.999999999999902e-01,5.631123685526223e-97,0.000000000000000e+00,5.075000000000004e+00,1,1.324999984353781e-02,1.324999984353781e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000025e+00,5.217665994183890e-12,0.000000000000000e+00,-2.429790192148578e-12,1.011220062841060e-11,4.488221498667735e-14,1.000000000000011e+00,1.774823934929906e+00,1.020952937563455e-16,0.000000000000000e+00,9.999999999999903e-01,6.893025122227135e-97,0.000000000000000e+00,5.075000000000003e+00,1,1.350000035017729e-02,1.350000035017729e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000025e+00,6.003988320361794e-12,0.000000000000000e+00,-1.496173180289617e-12,1.171488017583152e-11,3.401801867934817e-14,1.000000000000011e+00,1.774823934929906e+00,8.133097289108010e-17,0.000000000000000e+00,9.999999999999900e-01,2.013387891282154e-97,0.000000000000000e+00,5.075000000000003e+00,1,1.374999992549419e-02,1.374999992549419e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000026e+00,7.820518474905784e-12,0.000000000000000e+00,4.906061722713642e-13,1.555431189725371e-11,2.345474736801086e-15,1.000000000000010e+00,1.774823934929907e+00,-4.415867621810510e-16,0.000000000000000e+00,9.999999999999896e-01,-8.359429760131001e-97,0.000000000000000e+00,5.075000000000002e+00,1,1.400000043213367e-02,1.400000043213367e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000027e+00,9.637041862361460e-12,0.000000000000000e+00,2.477378123517493e-12,1.939372931570755e-11,-2.932695121656841e-14,1.000000000000010e+00,1.774823934929907e+00,-9.645025492368245e-16,0.000000000000000e+00,9.999999999999891e-01,-1.873220876986565e-96,0.000000000000000e+00,5.075000000000002e+00,1,1.425000000745058e-02,1.425000000745058e-02,4.000000059604645e-01,5.000000000000000e-01
1.500000000000028e+00,1.145356524981670e-11,0.000000000000000e+00,4.464150074763718e-12,2.323314673415941e-11,-6.099937716993757e-14,1.000000000000010e+00,1.774823934929908e+00,-1.487418336292352e-15,0.000000000000000e+00,9.999999999999885e-01,-2.910498777960037e-96,0.000000000000000e+00,5.075000000000001e+00,1,1.449999958276749e-02,1.449999958276749e-02,4.000000059604645e-01,5.000000000000000e-01
